timestamp,host,source,log_level,response_time_ms,status_code,user_count
2024-12-01 00:00:00,appserver1,/var/log/app/app.log,CRITICAL,250,503,50
2024-12-01 01:00:00,database1,/var/log/mysql/error.log,CRITICAL,173,503,25
2024-12-01 02:00:00,webserver1,/var/log/mysql/error.log,CRITICAL,236,500,24
2024-12-01 03:00:00,appserver1,/var/log/mysql/error.log,CRITICAL,375,500,13
2024-12-01 04:00:00,appserver1,/var/log/mysql/error.log,CRITICAL,513,404,60
2024-12-01 05:00:00,database1,/var/log/mysql/error.log,ERROR,398,500,7
2024-12-01 06:00:00,webserver1,/var/log/mysql/error.log,ERROR,820,404,57
2024-12-01 07:00:00,webserver1,/var/log/app/app.log,WARNING,709,404,36
2024-12-01 08:00:00,appserver1,/var/log/app/app.log,CRITICAL,813,404,45
2024-12-01 09:00:00,webserver2,/var/log/mysql/error.log,ERROR,981,404,20
2024-12-01 10:00:00,appserver1,/var/log/app/app.log,WARNING,452,404,65
2024-12-01 11:00:00,appserver1,/var/log/nginx/access.log,CRITICAL,395,200,8
2024-12-01 12:00:00,appserver1,/var/log/mysql/error.log,INFO,560,500,16
2024-12-01 13:00:00,appserver1,/var/log/nginx/access.log,WARNING,196,404,14
2024-12-01 14:00:00,database1,/var/log/nginx/access.log,ERROR,197,503,76
2024-12-01 15:00:00,webserver1,/var/log/mysql/error.log,INFO,913,500,87
2024-12-01 16:00:00,database1,/var/log/app/app.log,INFO,760,500,15
2024-12-01 17:00:00,database1,/var/log/nginx/access.log,INFO,869,404,92
2024-12-01 18:00:00,database1,/var/log/mysql/error.log,WARNING,538,200,98
2024-12-01 19:00:00,appserver1,/var/log/nginx/access.log,ERROR,978,404,66
2024-12-01 20:00:00,webserver2,/var/log/nginx/access.log,INFO,985,200,32
2024-12-01 21:00:00,webserver1,/var/log/nginx/access.log,CRITICAL,689,503,87
2024-12-01 22:00:00,webserver2,/var/log/nginx/access.log,INFO,600,500,63
2024-12-01 23:00:00,database1,/var/log/app/app.log,INFO,387,503,86
2024-12-02 00:00:00,database1,/var/log/nginx/access.log,WARNING,921,200,51
2024-12-02 01:00:00,webserver2,/var/log/nginx/access.log,WARNING,690,200,25
2024-12-02 02:00:00,webserver2,/var/log/nginx/access.log,ERROR,828,503,58
2024-12-02 03:00:00,webserver2,/var/log/app/app.log,CRITICAL,522,200,63
2024-12-02 04:00:00,database1,/var/log/nginx/access.log,WARNING,995,503,62
2024-12-02 05:00:00,database1,/var/log/nginx/access.log,INFO,200,500,22
2024-12-02 06:00:00,webserver1,/var/log/app/app.log,ERROR,464,503,58
2024-12-02 07:00:00,webserver1,/var/log/app/app.log,INFO,347,500,58
